configuration_id,layer,head,mean_entropy,entropy_p10,entropy_p90,mean_max_weight,mean_self_weight,mean_prev_weight,mean_top1_minus_top2,head_pair_cosine,case_variance_entropy,case_variance_max_weight,low_margin_entropy,high_margin_entropy,low_margin_max_weight,high_margin_max_weight,dist_0,dist_1,dist_2,dist_3,dist_4,dist_5,dist_6,dist_7
L19_SEED_2,14,1,1.6007,1.04918,2.00175,0.373423,0.090829,0.134864,0.157364,0.680504,0.147811,0.0325929,1.53776,1.5783,0.434381,0.329777,0.090829,0.134864,0.124237,0.111705,0.0937607,0.141276,0.146622,0.156705
L19_SEED_2,15,0,1.93685,1.70561,2.07604,0.208598,0.145928,0.1144,0.0221826,0.904922,0.0208345,0.00357137,1.88061,1.93483,0.239174,0.199382,0.145928,0.1144,0.142561,0.0963573,0.14188,0.112399,0.125002,0.121472
L19_SEED_2,15,1,1.97381,1.83094,2.06705,0.204866,0.149669,0.127276,0.0209046,0.904922,0.00722041,0.00257269,1.93601,1.98962,0.229697,0.184825,0.149669,0.127276,0.111218,0.118343,0.126828,0.11815,0.132063,0.116454
L19_SEED_2,16,0,1.92565,1.6232,2.07412,0.223626,0.0804416,0.150565,0.0407247,0.954037,0.0287779,0.00823988,1.88015,1.99563,0.271994,0.182588,0.0804416,0.150565,0.118891,0.135044,0.0915812,0.15086,0.134693,0.137923
L19_SEED_2,16,1,2.03323,1.92144,2.07811,0.174634,0.0993709,0.147925,0.0167399,0.954037,0.00404376,0.00222678,2.03033,2.03259,0.1847,0.171545,0.0993709,0.147925,0.119149,0.12996,0.107128,0.14202,0.123852,0.130594
L19_SEED_2,17,0,2.02703,1.96961,2.07691,0.180652,0.104378,0.153339,0.0143879,0.677506,0.00207344,0.0010276,2.02941,2.04077,0.187134,0.164482,0.104378,0.153339,0.115387,0.125913,0.112966,0.138952,0.124035,0.125028
L19_SEED_2,17,1,1.75619,1.2388,2.0276,0.273822,0.200211,0.0671175,0.056169,0.677506,0.0923216,0.0185806,1.66876,1.84861,0.319139,0.233621,0.200211,0.0671175,0.142322,0.0938672,0.161255,0.0811633,0.129744,0.124319
L19_SEED_2,18,0,1.97904,1.81805,2.07422,0.201441,0.0872863,0.159083,0.0222684,0.968889,0.00920753,0.00253506,1.99183,2.03301,0.211721,0.170133,0.0872863,0.159083,0.113887,0.133711,0.100361,0.150927,0.121072,0.133673
L19_SEED_2,18,1,2.03104,1.95827,2.07897,0.169188,0.0978627,0.148438,0.00721537,0.968889,0.0029553,0.000920239,2.03575,2.05993,0.172699,0.148717,0.0978627,0.148438,0.117638,0.135567,0.105543,0.143321,0.122149,0.129481
L19_SEED_4,1,0,1.99852,1.89926,2.074,0.188762,0.185769,0.098929,0.0077763,0.919082,0.00579724,0.00174341,2.02473,2.02747,0.181242,0.169121,0.185769,0.098929,0.0985351,0.13011,0.156015,0.0955531,0.122869,0.11222
L19_SEED_4,1,1,2.06275,2.03986,2.07867,0.151214,0.13917,0.115621,0.0035616,0.919082,0.000308578,0.000327676,2.06626,2.05944,0.149408,0.154649,0.13917,0.115621,0.131344,0.11726,0.132897,0.124574,0.124529,0.114606
L19_SEED_4,4,0,1.99417,1.76659,2.07706,0.182789,0.16247,0.114565,0.00745957,0.918201,0.0116276,0.00260118,2.01669,1.96738,0.180921,0.192331,0.16247,0.114565,0.116762,0.110695,0.152448,0.113753,0.122755,0.106553
L19_SEED_4,4,1,1.92846,1.65142,2.06869,0.21333,0.185244,0.10397,0.0187655,0.918201,0.0284108,0.00466525,1.90751,1.96298,0.234955,0.188353,0.185244,0.10397,0.136783,0.0855514,0.166253,0.111014,0.12249,0.088694
L19_SEED_4,7,0,2.07381,2.06074,2.07883,0.140797,0.128093,0.121673,0.00258041,0.843708,3.48905e-05,9.3019e-05,2.07299,2.07548,0.143436,0.137029,0.128093,0.121673,0.125621,0.128093,0.123282,0.124005,0.128621,0.120612
L19_SEED_4,7,1,1.83253,1.48029,2.06133,0.259702,0.137954,0.119159,0.0401344,0.843708,0.0403506,0.00727841,1.77516,1.81913,0.289253,0.246952,0.137954,0.119159,0.128648,0.123154,0.139047,0.11603,0.116634,0.119372
L19_SEED_4,8,0,1.83277,1.49512,2.0494,0.252345,0.147546,0.112145,0.0253778,0.757473,0.0514317,0.00618538,1.8343,1.82755,0.269239,0.239665,0.147546,0.112145,0.149017,0.1038,0.131882,0.128761,0.136153,0.0906953
L19_SEED_4,8,1,2.01843,1.913,2.07817,0.188765,0.113174,0.12835,0.0284647,0.757473,0.00947234,0.00441143,2.0248,2.02535,0.20789,0.174298,0.113174,0.12835,0.140025,0.113058,0.116251,0.141575,0.124887,0.12268
L19_SEED_4,9,0,1.72735,1.42123,2.01826,0.284682,0.259285,0.077585,0.0331205,0.68281,0.0558384,0.00843647,1.70915,1.86108,0.312152,0.2279,0.259285,0.077585,0.0826631,0.118406,0.188015,0.0762028,0.121973,0.0758707
L19_SEED_4,9,1,2.02482,1.88268,2.07874,0.183269,0.108481,0.131642,0.0276195,0.68281,0.00785481,0.00432605,2.03055,2.0177,0.200116,0.175692,0.108481,0.131642,0.141055,0.112106,0.115432,0.137864,0.129412,0.124008
L19_SEED_4,11,0,1.8001,1.33982,2.07182,0.291826,0.112867,0.148839,0.095181,0.823254,0.0832344,0.0218273,1.75105,1.85915,0.342797,0.224405,0.112867,0.148839,0.112943,0.113922,0.131805,0.120876,0.115596,0.143152
L19_SEED_4,11,1,1.90034,1.73076,2.07329,0.248498,0.113335,0.123996,0.0566865,0.823254,0.0398238,0.010473,1.90154,1.91963,0.284596,0.218906,0.113335,0.123996,0.153716,0.103086,0.107338,0.153485,0.128459,0.116585
L19_SEED_4,12,0,1.72543,1.31651,2.0385,0.31577,0.169648,0.117749,0.090789,0.714537,0.086704,0.0209739,1.64791,1.84704,0.369314,0.238384,0.169648,0.117749,0.103233,0.126833,0.156936,0.0969194,0.110154,0.118528
L19_SEED_4,12,1,1.59396,1.08548,1.97913,0.344431,0.162669,0.104547,0.0974916,0.714537,0.135868,0.0192226,1.59181,1.69748,0.39765,0.283538,0.162669,0.104547,0.113794,0.125083,0.110743,0.138421,0.128584,0.116159
L19_SEED_4,13,0,1.62627,1.25662,2.02718,0.34062,0.18144,0.0888629,0.0963699,0.768646,0.0934203,0.017325,1.51283,1.76194,0.406997,0.255571,0.18144,0.0888629,0.144212,0.0890572,0.160002,0.0989623,0.133402,0.104063
L19_SEED_4,13,1,1.5217,0.93445,2.06298,0.366107,0.187753,0.0765219,0.0983346,0.768646,0.156721,0.0202878,1.51091,1.57094,0.415726,0.318476,0.187753,0.0765219,0.14825,0.101099,0.126987,0.119502,0.146535,0.0933518
L19_SEED_4,14,0,1.73386,1.26399,2.06797,0.304218,0.125526,0.139445,0.0948339,0.89485,0.10923,0.0247651,1.68656,1.87064,0.340714,0.223587,0.125526,0.139445,0.115326,0.120343,0.139386,0.117802,0.111653,0.13052
L19_SEED_4,14,1,1.36183,0.723387,1.9764,0.439888,0.0839289,0.153054,0.210046,0.89485,0.224101,0.0453369,1.29607,1.55287,0.477707,0.317029,0.0839289,0.153054,0.0983578,0.12291,0.126259,0.12578,0.100283,0.189427
L19_SEED_4,15,0,1.47042,0.302206,2.05048,0.412719,0.0724686,0.149066,0.226271,0.888053,0.390022,0.071061,1.28349,1.75812,0.518077,0.255009,0.0724686,0.149066,0.113443,0.107099,0.102077,0.135902,0.120744,0.1992
L19_SEED_4,15,1,1.64434,0.940575,2.06279,0.364699,0.0660511,0.149997,0.165458,0.888053,0.184947,0.0388823,1.49035,1.80795,0.454551,0.260106,0.0660511,0.149997,0.12971,0.101122,0.100945,0.152764,0.116506,0.182905
L19_SEED_4,16,0,1.49437,0.382337,2.04687,0.407722,0.0748917,0.144977,0.213605,0.624895,0.351966,0.0608801,1.28275,1.70358,0.519205,0.276858,0.0748917,0.144977,0.115404,0.121735,0.107599,0.126335,0.117943,0.191115
L19_SEED_4,16,1,1.40386,0.853879,1.91069,0.41633,0.218274,0.0807621,0.167646,0.624895,0.14985,0.0327187,1.30379,1.58628,0.482026,0.297931,0.218274,0.0807621,0.141736,0.0897731,0.181473,0.072805,0.138781,0.0763962
L19_SEED_4,17,0,1.83277,1.4964,2.0356,0.275792,0.0924786,0.139132,0.0802776,0.86032,0.0611952,0.0166994,1.79477,1.91056,0.310749,0.217942,0.0924786,0.139132,0.12498,0.126797,0.116153,0.127942,0.11952,0.152997
L19_SEED_4,17,1,1.72223,1.3152,2.06082,0.303797,0.161749,0.105439,0.0818618,0.86032,0.0860968,0.0164439,1.74202,1.82359,0.311669,0.247253,0.161749,0.105439,0.11532,0.139694,0.128975,0.104019,0.122095,0.122708
L19_SEED_4,18,0,1.43739,0.791834,1.98648,0.403835,0.145443,0.136272,0.158013,0.330949,0.187531,0.0343526,1.2532,1.62034,0.495734,0.293447,0.145443,0.136272,0.0955644,0.124128,0.148354,0.108282,0.105101,0.136857
L19_SEED_4,18,1,1.44031,0.870634,1.83772,0.360022,0.1178,0.152004,0.0659232,0.330949,0.104631,0.0122775,1.53607,1.47507,0.346664,0.328298,0.1178,0.152004,0.115733,0.116447,0.125065,0.159353,0.102567,0.111031
L18_SEED_2_CONTROL,1,0,1.92724,1.6744,2.07262,0.209625,0.201667,0.089058,0.0103305,0.747335,0.0198625,0.0045517,1.96065,1.93951,0.198763,0.19643,0.201667,0.089058,0.115772,0.108908,0.167091,0.0885113,0.125549,0.103443
L18_SEED_2_CONTROL,1,1,1.99506,1.83152,2.06765,0.191195,0.09506,0.141584,0.0131479,0.747335,0.00826269,0.00234064,1.9836,1.98362,0.202658,0.191551,0.09506,0.141584,0.140011,0.120747,0.118697,0.12707,0.124866,0.131964
