configuration_id,src_tap,dst_tap,finite,fit_rank,cond,rel_residual_ls,rel_residual_orth,native_dev_tf_exact,transfer_dev_tf_exact,aligned_ls_dev_tf_exact,aligned_orth_dev_tf_exact,recovery_ls,recovery_orth,residual_loss_ls,residual_loss_orth,verdict
L19_SEED_2,b15_AFTER_ATTN,b15_AFTER_FFN,true,16,542684,0.00294647,0.0856322,87,87,84,84,0,0,3,3,INFORMATION_LOSS
L19_SEED_2,b15_AFTER_FFN,b16_AFTER_ATTN,true,16,631063,0.00283952,0.0499885,85,84,76,94,0,0,8,-10,INFORMATION_LOSS
L19_SEED_2,b16_AFTER_ATTN,b16_AFTER_FFN,true,16,525293,0.00270492,0.080963,86,84,62,93,0,0,22,-9,INFORMATION_LOSS
L19_SEED_2,b16_AFTER_FFN,b17_AFTER_ATTN,true,16,648831,0.00326697,0.0512954,93,85,82,95,0,0,3,-10,INFORMATION_LOSS
L19_SEED_2,b17_AFTER_ATTN,b17_AFTER_FFN,true,16,601002,0.00366444,0.0672408,91,93,75,92,0,0.5,18,1,INFORMATION_LOSS
L19_SEED_2,b17_AFTER_FFN,b18_AFTER_ATTN,true,16,921987,0.00279043,0.0611388,84,89,94,92,1,1,-5,-3,COORDINATE_TRANSFORM
L19_SEED_2,b18_AFTER_ATTN,b18_AFTER_FFN,true,16,889091,0.00230621,0.042976,84,73,65,82,0,0,8,-9,INFORMATION_LOSS
L19_SEED_4,EMBEDDING,b00_AFTER_ATTN,true,13,inf,0.0262008,0.370857,135,135,116,135,0,0,19,0,INFORMATION_LOSS
L19_SEED_4,b00_AFTER_ATTN,b00_AFTER_FFN,true,16,36860.1,0.0101647,0.51344,135,120,22,90,0,0,98,30,INFORMATION_LOSS
L19_SEED_4,b00_AFTER_FFN,b01_AFTER_ATTN,true,16,429006,0.0107408,0.11519,130,128,123,132,0,0,5,-4,INFORMATION_LOSS
L19_SEED_4,b01_AFTER_ATTN,b01_AFTER_FFN,true,16,160630,0.00956205,0.411753,137,143,70,135,0,0,73,8,INFORMATION_LOSS
L19_SEED_4,b01_AFTER_FFN,b02_AFTER_ATTN,true,16,280702,0.00795159,0.128325,131,124,64,116,0,0,60,8,INFORMATION_LOSS
L19_SEED_4,b02_AFTER_ATTN,b02_AFTER_FFN,true,16,140314,0.00629384,0.314192,134,133,65,118,0,0,68,15,INFORMATION_LOSS
L19_SEED_4,b02_AFTER_FFN,b03_AFTER_ATTN,true,16,368049,0.00631251,0.0515117,127,126,43,126,0,0,83,0,INFORMATION_LOSS
L19_SEED_4,b03_AFTER_ATTN,b03_AFTER_FFN,true,16,388030,0.00904558,0.243447,127,124,68,129,0,0,56,-5,INFORMATION_LOSS
L19_SEED_4,b03_AFTER_FFN,b04_AFTER_ATTN,true,16,401969,0.00295647,0.0738773,124,125,95,125,0,1,30,0,INFORMATION_LOSS
L19_SEED_4,b04_AFTER_ATTN,b04_AFTER_FFN,true,16,501403,0.00410123,0.255388,123,128,11,124,0,0.2,117,4,INFORMATION_LOSS
L19_SEED_4,b04_AFTER_FFN,b05_AFTER_ATTN,true,16,1.26914e+06,0.00544031,0.0614946,121,116,91,113,0,0,25,3,INFORMATION_LOSS
L19_SEED_4,b05_AFTER_ATTN,b05_AFTER_FFN,true,16,1.42773e+06,0.00402279,0.150687,120,121,49,122,0,1,72,-1,INFORMATION_LOSS
L19_SEED_4,b05_AFTER_FFN,b06_AFTER_ATTN,true,16,1.63099e+06,0.00304531,0.053053,120,120,103,106,0,0,17,14,INFORMATION_LOSS
L19_SEED_4,b06_AFTER_ATTN,b06_AFTER_FFN,true,16,1.61253e+06,0.00300099,0.125587,121,121,97,126,0,0,24,-5,INFORMATION_LOSS
L19_SEED_4,b06_AFTER_FFN,b07_AFTER_ATTN,true,16,860223,0.00233237,0.0366945,120,121,114,117,0,0,7,4,INFORMATION_LOSS
L19_SEED_4,b07_AFTER_ATTN,b07_AFTER_FFN,true,16,732457,0.00300513,0.14255,120,109,93,102,0,0,16,7,INFORMATION_LOSS
L19_SEED_4,b07_AFTER_FFN,b08_AFTER_ATTN,true,16,564108,0.00371263,0.0436701,120,109,115,109,0,0,-6,0,MIXED
L19_SEED_4,b08_AFTER_ATTN,b08_AFTER_FFN,true,16,695948,0.00261137,0.127079,126,125,95,125,0,0,30,0,INFORMATION_LOSS
L19_SEED_4,b08_AFTER_FFN,b09_AFTER_ATTN,true,16,974949,0.00287651,0.051901,118,104,106,104,0,0,-2,0,MIXED
L19_SEED_4,b09_AFTER_ATTN,b09_AFTER_FFN,true,16,1.28327e+06,0.00339154,0.122824,119,118,99,118,0,0,19,0,INFORMATION_LOSS
L19_SEED_4,b09_AFTER_FFN,b10_AFTER_ATTN,true,16,1.5965e+06,0.00303055,0.0651183,117,106,107,104,0,0,-1,2,MIXED
L19_SEED_4,b10_AFTER_ATTN,b10_AFTER_FFN,true,16,1.46499e+06,0.00244182,0.120947,117,122,89,123,0,1,33,-1,INFORMATION_LOSS
L19_SEED_4,b10_AFTER_FFN,b11_AFTER_ATTN,true,16,1.30965e+06,0.00428909,0.0830171,112,97,83,96,0,0,14,1,INFORMATION_LOSS
L19_SEED_4,b11_AFTER_ATTN,b11_AFTER_FFN,true,16,717867,0.00263216,0.11623,112,113,73,117,0,1,40,-4,INFORMATION_LOSS
L19_SEED_4,b11_AFTER_FFN,b12_AFTER_ATTN,true,16,562840,0.0033731,0.0595534,102,104,92,95,0,0,12,9,INFORMATION_LOSS
L19_SEED_4,b12_AFTER_ATTN,b12_AFTER_FFN,true,16,507934,0.00279276,0.111236,110,110,98,115,0,0,12,-5,INFORMATION_LOSS
L19_SEED_4,b12_AFTER_FFN,b13_AFTER_ATTN,true,16,471407,0.00361329,0.0594626,104,96,81,91,0,0,15,5,INFORMATION_LOSS
L19_SEED_4,b13_AFTER_ATTN,b13_AFTER_FFN,true,16,272868,0.00233129,0.0653229,103,103,111,102,0,0,-8,1,MIXED
L19_SEED_4,b13_AFTER_FFN,b14_AFTER_ATTN,true,16,174787,0.00321177,0.0423401,102,101,96,101,0,0,5,0,INFORMATION_LOSS
L19_SEED_4,b14_AFTER_ATTN,b14_AFTER_FFN,true,16,105983,0.00227774,0.0990497,102,102,100,102,0,0,2,0,MIXED
L19_SEED_4,b14_AFTER_FFN,b15_AFTER_ATTN,true,16,113798,0.00357769,0.0630057,104,97,104,97,0,0,-7,0,MIXED
L19_SEED_4,b15_AFTER_ATTN,b15_AFTER_FFN,true,16,132266,0.00182783,0.0753885,102,102,89,103,0,0,13,-1,INFORMATION_LOSS
L19_SEED_4,b15_AFTER_FFN,b16_AFTER_ATTN,true,16,131433,0.00285215,0.0600847,101,95,86,96,0,0,9,-1,INFORMATION_LOSS
L19_SEED_4,b16_AFTER_ATTN,b16_AFTER_FFN,true,16,202313,0.00209565,0.058678,100,100,86,101,0,0,14,-1,INFORMATION_LOSS
L19_SEED_4,b16_AFTER_FFN,b17_AFTER_ATTN,true,16,194411,0.00363569,0.0597096,95,94,83,83,0,0,11,11,INFORMATION_LOSS
L19_SEED_4,b17_AFTER_ATTN,b17_AFTER_FFN,true,16,278322,0.00176322,0.0717602,94,94,86,94,0,0,8,0,INFORMATION_LOSS
