configuration_id,src_tap,dst_tap,pair_kind,variant,src_probe_dev_tf_exact,transfer_dev_tf_exact,delta_vs_src,dst_probe_dev_tf_exact,delta_vs_dst
L19_SEED_2,b18_AFTER_ATTN,b18_AFTER_FFN,coarse,norm,84,73,-11,84,-11
L19_SEED_2,b18_AFTER_ATTN,b18_AFTER_FFN,coarse,raw,84,85,1,84,1
L19_SEED_2,b18_NORM2,b18_FFN_UPDATE,fine,raw,91,18,-73,69,-51
L19_SEED_2,b18_FFN_UPDATE,b18_AFTER_FFN,fine,raw,69,66,-3,84,-18
L19_SEED_4,EMBEDDING,b00_AFTER_ATTN,coarse,norm,144,135,-9,135,0
L19_SEED_4,EMBEDDING,b00_AFTER_ATTN,coarse,raw,144,130,-14,135,-5
L19_SEED_4,b00_AFTER_ATTN,b00_AFTER_FFN,coarse,norm,135,120,-15,135,-15
L19_SEED_4,b00_AFTER_ATTN,b00_AFTER_FFN,coarse,raw,135,133,-2,135,-2
L19_SEED_4,b00_AFTER_FFN,b01_NORM1,fine,raw,135,128,-7,137,-9
L19_SEED_4,b00_AFTER_FFN,b01_AFTER_ATTN,coarse,norm,135,128,-7,130,-2
L19_SEED_4,b00_AFTER_FFN,b01_AFTER_ATTN,coarse,raw,135,131,-4,130,1
L19_SEED_4,b01_NORM1,b01_ATT_UPDATE,fine,raw,137,24,-113,75,-51
L19_SEED_4,b01_ATT_UPDATE,b01_AFTER_ATTN,fine,raw,75,55,-20,130,-75
L19_SEED_4,b01_AFTER_ATTN,b01_NORM2,fine,raw,130,111,-19,133,-22
L19_SEED_4,b01_AFTER_ATTN,b01_AFTER_FFN,coarse,norm,130,143,13,137,6
L19_SEED_4,b01_AFTER_ATTN,b01_AFTER_FFN,coarse,raw,130,137,7,137,0
L19_SEED_4,b01_NORM2,b01_FFN_UPDATE,fine,raw,133,35,-98,132,-97
L19_SEED_4,b01_FFN_UPDATE,b01_AFTER_FFN,fine,raw,132,97,-35,137,-40
L19_SEED_4,b01_AFTER_FFN,b02_AFTER_ATTN,coarse,norm,137,124,-13,131,-7
L19_SEED_4,b01_AFTER_FFN,b02_AFTER_ATTN,coarse,raw,137,113,-24,131,-18
L19_SEED_4,b02_AFTER_ATTN,b02_AFTER_FFN,coarse,norm,131,133,2,134,-1
L19_SEED_4,b02_AFTER_ATTN,b02_AFTER_FFN,coarse,raw,131,123,-8,134,-11
L19_SEED_4,b02_AFTER_FFN,b03_AFTER_ATTN,coarse,norm,134,126,-8,127,-1
L19_SEED_4,b02_AFTER_FFN,b03_AFTER_ATTN,coarse,raw,134,126,-8,127,-1
L19_SEED_4,b03_AFTER_ATTN,b03_AFTER_FFN,coarse,norm,127,124,-3,127,-3
L19_SEED_4,b03_AFTER_ATTN,b03_AFTER_FFN,coarse,raw,127,136,9,127,9
L19_SEED_4,b03_AFTER_FFN,b04_NORM1,fine,raw,127,120,-7,128,-8
L19_SEED_4,b03_AFTER_FFN,b04_AFTER_ATTN,coarse,norm,127,125,-2,124,1
L19_SEED_4,b03_AFTER_FFN,b04_AFTER_ATTN,coarse,raw,127,125,-2,124,1
L19_SEED_4,b04_NORM1,b04_ATT_UPDATE,fine,raw,128,17,-111,71,-54
L19_SEED_4,b04_ATT_UPDATE,b04_AFTER_ATTN,fine,raw,71,80,9,124,-44
L19_SEED_4,b04_AFTER_ATTN,b04_NORM2,fine,raw,124,112,-12,127,-15
L19_SEED_4,b04_AFTER_ATTN,b04_AFTER_FFN,coarse,norm,124,128,4,123,5
L19_SEED_4,b04_AFTER_ATTN,b04_AFTER_FFN,coarse,raw,124,125,1,123,2
L19_SEED_4,b04_NORM2,b04_FFN_UPDATE,fine,raw,127,61,-66,136,-75
L19_SEED_4,b04_FFN_UPDATE,b04_AFTER_FFN,fine,raw,136,99,-37,123,-24
L19_SEED_4,b04_AFTER_FFN,b05_AFTER_ATTN,coarse,norm,123,116,-7,121,-5
L19_SEED_4,b04_AFTER_FFN,b05_AFTER_ATTN,coarse,raw,123,115,-8,121,-6
L19_SEED_4,b05_AFTER_ATTN,b05_AFTER_FFN,coarse,norm,121,121,0,120,1
L19_SEED_4,b05_AFTER_ATTN,b05_AFTER_FFN,coarse,raw,121,121,0,120,1
L19_SEED_4,b05_AFTER_FFN,b06_AFTER_ATTN,coarse,norm,120,120,0,120,0
L19_SEED_4,b05_AFTER_FFN,b06_AFTER_ATTN,coarse,raw,120,109,-11,120,-11
L19_SEED_4,b06_AFTER_ATTN,b06_AFTER_FFN,coarse,norm,120,121,1,121,0
L19_SEED_4,b06_AFTER_ATTN,b06_AFTER_FFN,coarse,raw,120,121,1,121,0
L19_SEED_4,b06_AFTER_FFN,b07_AFTER_ATTN,coarse,norm,121,121,0,120,1
L19_SEED_4,b06_AFTER_FFN,b07_AFTER_ATTN,coarse,raw,121,121,0,120,1
L19_SEED_4,b07_AFTER_ATTN,b07_AFTER_FFN,coarse,norm,120,109,-11,120,-11
