configuration_id,tap_id,tap_name,kind,block,dim,selected_step,finite,train_tf_token_exact,cal_tf_token_exact,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_tf_mean_margin,dev_tf_margin_q10,dev_tf_top2,dev_tf_top3
L19_SEED_1,91,b13_FFN_UPDATE,FFN_UPDATE,13,16,75,true,28,107,108,1.86805555556,1.0365627324,0.368108828012,-3.26566078838,123,134
L19_SEED_1,92,b13_AFTER_FFN,AFTER_FFN,13,16,50,true,28,96,99,1.70138888889,1.07634381305,0.475876898486,-2.96550432742,120,132
L19_SEED_1,93,b14_NORM1,NORM1,14,16,50,true,28,89,93,1.78472222222,1.18903621199,0.335728916762,-3.57602061757,119,129
L19_SEED_1,94,b14_ATT_UPDATE,ATT_UPDATE,14,16,25,true,16,30,22,10.3125,3.29982567543,-1.59000786289,-6.74340733398,47,48
L19_SEED_1,95,b14_AFTER_ATTN,AFTER_ATTN,14,16,50,true,28,95,100,1.8125,1.18955296679,0.364275494136,-3.43107309142,119,129
L19_SEED_1,96,b14_NORM2,NORM2,14,16,50,true,28,88,90,2.15972222222,1.28875408529,0.206860156795,-3.98318522713,117,127
L19_SEED_1,97,b14_FFN_UPDATE,FFN_UPDATE,14,16,50,true,27,92,97,2.54166666667,1.33056291444,0.279914896676,-4.00635543973,116,122
L19_SEED_1,98,b14_AFTER_FFN,AFTER_FFN,14,16,50,true,28,94,98,1.90972222222,1.17408240027,0.379324982964,-3.35415418048,120,129
L19_SEED_1,99,b15_NORM1,NORM1,15,16,50,true,28,89,90,2.15277777778,1.30062037131,0.186326903253,-4.00592965906,115,126
L19_SEED_1,100,b15_ATT_UPDATE,ATT_UPDATE,15,16,25,true,20,27,20,8.04861111111,2.93196630516,-1.40646566992,-5.78217060354,43,66
L19_SEED_1,101,b15_AFTER_ATTN,AFTER_ATTN,15,16,50,true,28,94,97,2.13194444444,1.22838664228,0.303550286766,-3.55799434826,116,128
