"family_id","configuration_id","partition","step","token_exact","token_total","sequence_exact","sequence_total","autoregressive_nll","median_first_error_survival","lower_tail_margin_q10","all_finite"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","4","13","144","0","24","3.3274836084297674","1","-0.6237461268901825","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","8","26","144","0","24","3.2077684924342598","1","-0.7746118537771205","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","12","22","144","0","24","3.0967513996670957","1","-1.1333426455656688","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","16","33","144","2","24","3.0096037234257351","1","-1.1642828127990166","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","20","39","144","4","24","2.8506642785379257","1","-1.7322905292113622","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","24","56","144","4","24","2.7142662617044095","1","-1.9813332746426264","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","28","50","144","4","24","2.644807901619556","1","-2.3204981088638306","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","32","49","144","5","24","2.5810015385792813","1","-3.0520213544368744","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","36","65","144","8","24","2.487085762327744","2","-3.9269763429959617","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","40","70","144","10","24","2.3457366407149562","3","-4.6302010059356693","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","48","76","144","11","24","2.2600741167148759","1","-6.1911657060186069","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","56","75","144","11","24","2.3948180355208182","2","-7.7616661230723061","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","64","93","144","14","24","2.0245412777568648","5","-8.532653737068177","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","80","94","144","14","24","2.1372633241233205","5","-10.376261782646178","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","96","102","144","15","24","1.9400667061375703","5","-11.091394754250844","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","128","102","144","15","24","2.1080955622691286","5","-12.420002257823944","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","160","104","144","15","24","2.1731225685019151","5","-13.078231549263","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","192","113","144","18","24","1.9369102823117343","5","-13.144558711846669","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","224","113","144","18","24","1.992983787287985","5","-13.649542333682378","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","256","113","144","18","24","2.0420289717458413","5","-14.07931777437528","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","288","113","144","18","24","2.0862781319560955","5","-14.459152114391326","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","304","113","144","18","24","2.1067748741950809","5","-14.633930464585623","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_CALIBRATION_V1","320","113","144","18","24","2.1264072466431747","5","-14.800412146250407","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","0","2","144","0","24","3.4829463685813224","1","-0.59163200656572978","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","4","12","144","0","24","3.3280167503694766","1","-0.62114911066989109","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","8","24","144","0","24","3.1964084591643176","1","-0.69077499515066543","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","12","23","144","0","24","3.0792951208161852","1","-0.88508402258157726","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","16","39","144","3","24","2.9661032937637501","1","-1.0152858709606032","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","20","37","144","4","24","2.85871422196352","1","-1.6960185428460439","true"
"PAIRWISE_MARGIN_CE_V1","L19_SEED_4","MARGIN_DEVELOPMENT_V1","24","50","144","3","24","2.7585292116581832","1","-1.9766471306482951","true"
