configuration_id,layer,tap,condition,solver,init,lambda,converged,converged_flat,stalled,iterations,grad_norm,objective,train_ce,cal_ce,dev_ce,train_exact,cal_exact,dev_exact,selected_step,train_ce_2000,ce_coordinate
L19_SEED_1,8,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000148820716704,0.00674246949059,0.00123136482648,6.58931306193,6.81784791077,32,37,35,,,whitened
L19_SEED_1,8,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,144,2.16125059058e-08,0.00625639039296,0.00118572187233,6.5527625839,6.79262092969,32,35,35,,,whitened
L19_SEED_1,9,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.385983482823,0.905373797286,0.938180415316,29,103,107,75,0.0144837992199,z_score
L19_SEED_1,9,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.385983482823,0.905373797286,0.938180415316,29,103,107,,,whitened
L19_SEED_1,9,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000148506602603,0.0064723102684,0.00115265620952,5.98135878333,6.54683897722,32,43,41,,,whitened
L19_SEED_1,9,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,128,1.95536247964e-08,0.00598476148647,0.00110860701859,5.83395314579,6.38130906986,32,42,40,,,whitened
L19_SEED_1,10,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.394319642889,0.934809561913,0.964161632891,29,100,106,75,0.014848797131,z_score
L19_SEED_1,10,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.394319642889,0.934809561913,0.964161632891,29,100,106,,,whitened
L19_SEED_1,10,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000149116479344,0.00631490470585,0.00111077713565,7.03090187829,7.40367594813,32,32,31,,,whitened
L19_SEED_1,10,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,144,2.18051490224e-08,0.00582345995091,0.00106629967188,6.89488300673,7.25097905752,32,32,31,,,whitened
L19_SEED_1,11,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.400143616684,0.98259208337,1.00416828323,29,99,105,75,0.0155532208501,z_score
L19_SEED_1,11,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.400143616684,0.98259208337,1.00416828323,29,99,105,,,whitened
L19_SEED_1,11,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.00015079863141,0.00718651425471,0.00136112399205,7.18426417353,7.55330978031,32,41,36,,,whitened
L19_SEED_1,11,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,157,2.17377095631e-08,0.00670081109896,0.00131100653804,7.08502312169,7.45500877217,32,37,31,,,whitened
L19_SEED_1,12,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.387845786871,1.02140346934,1.02807398386,29,97,104,75,0.0143436162115,z_score
L19_SEED_1,12,AFTER_FFN,1_mapped,LEGACY_ADAM_MAPPED,zero,0.0001,true,false,false,2000,,,0.387845786871,1.02140346934,1.02807398386,29,97,104,,,whitened
L19_SEED_1,12,AFTER_FFN,4,CANONICAL_GD,zero,0.0001,false,false,false,10000,0.000150247363775,0.0070933679705,0.00133467299934,8.55058041526,8.71912033211,32,35,37,,,whitened
L19_SEED_1,12,AFTER_FFN,4,CANONICAL_LBFGS,zero,0.0001,true,true,false,150,1.42189214259e-08,0.00660769403661,0.00128465121611,8.42327560555,8.67177156914,32,34,36,,,whitened
L19_SEED_1,13,AFTER_FFN,1,LEGACY_ADAM,zero,0.0001,true,false,false,2000,,,0.556935912318,1.05327864385,1.07634381305,28,96,99,50,0.0140174658178,z_score
