configuration_id,layer,tap,legacy_dev_exact,canonical_gd_dev_exact,canonical_lbfgs_dev_exact,canonical_minus_legacy_dev_exact,canonical_lbfgs_train_ce
L19_SEED_1,18,AFTER_ATTN,88,44,44,-44,0.00114255338178
L19_SEED_2,11,NORM1,106,57,57,-49,0.00112229997003
L19_SEED_2,11,AFTER_ATTN,92,47,47,-45,0.00102564783655
L19_SEED_2,12,NORM1,103,56,55,-48,0.0012467212722
L19_SEED_2,12,AFTER_ATTN,102,55,54,-48,0.0010406200662
L19_SEED_2,13,NORM1,100,38,38,-62,0.00137099361006
L19_SEED_2,13,AFTER_ATTN,87,42,42,-45,0.00114289296692
L19_SEED_2,14,NORM1,99,52,50,-49,0.00151867091569
L19_SEED_2,14,AFTER_ATTN,87,44,43,-44,0.00106949306475
L19_SEED_2,15,NORM1,100,46,47,-53,0.00140619110526
L19_SEED_2,15,AFTER_ATTN,88,51,39,-49,0.00106515378059
L19_SEED_2,16,NORM1,97,57,55,-42,0.00146312907336
L19_SEED_2,16,AFTER_ATTN,85,66,60,-25,0.0011774630153
L19_SEED_2,17,NORM1,94,54,54,-40,0.00136771048333
L19_SEED_2,17,AFTER_ATTN,93,60,65,-28,0.00112967743524
L19_SEED_2,18,NORM1,93,56,56,-37,0.00157291943609
L19_SEED_2,18,AFTER_ATTN,84,51,49,-35,0.00122118242686
L19_SEED_4,11,NORM1,125,51,51,-74,0.00129286645054
L19_SEED_4,11,AFTER_ATTN,112,49,48,-64,0.00125601701381
L19_SEED_4,12,NORM1,125,50,49,-76,0.00143911923837
L19_SEED_4,12,AFTER_ATTN,102,50,50,-52,0.00123300120808
L19_SEED_4,13,NORM1,107,60,60,-47,0.00127298270811
L19_SEED_4,13,AFTER_ATTN,104,36,36,-68,0.00123832655143
L19_SEED_4,14,NORM1,111,65,65,-46,0.00121182590543
L19_SEED_4,14,AFTER_ATTN,102,31,31,-71,0.00111131758754
L19_SEED_4,15,NORM1,105,64,63,-42,0.00117924449269
