configuration_id,checkpoint_step,rep,rep_name,dataset,eta2,effective_rank,norm_ratio,hidden_margin_midmedian,sign_agreement,alignment_cosine
L19_SEED_2,320,8,L8_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.953126772888,3.22420415009,18.4018005816,4.45213038886,0.701388888889,0.740339468187
L19_SEED_2,320,8,L8_BLOCK_OUT,TRAIN,0.831622988115,3.03156566862,19.3339817526,6.32408703078,0.75,0
L19_SEED_2,320,9,L9_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.945365957711,3.27675657242,21.634226033,5.10233936993,0.708333333333,0.754641335719
L19_SEED_2,320,9,L9_BLOCK_OUT,TRAIN,0.829586806411,3.07164733839,22.7732888164,7.25304038131,0.75,0
L19_SEED_2,320,10,L10_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.945407692821,3.20401406366,25.1874043097,5.54445387586,0.708333333333,0.760474024209
L19_SEED_2,320,10,L10_BLOCK_OUT,TRAIN,0.825799363199,3.03774840529,26.4000049981,8.38685629314,0.75,0
L19_SEED_2,320,11,L11_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.941526475667,3.17857566275,28.0242036096,6.31756283709,0.729166666667,0.762410116874
L19_SEED_2,320,11,L11_BLOCK_OUT,TRAIN,0.831599248746,3.00283905141,29.4158830215,9.16345057493,0.75,0
L19_SEED_2,320,12,L12_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.934623747146,3.17241917532,31.16333708,7.60039031734,0.743055555556,0.761354903682
L19_SEED_2,320,12,L12_BLOCK_OUT,TRAIN,0.834119683927,3.03103189776,32.8218972749,10.0319087319,0.75,0
L19_SEED_2,320,13,L13_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.929829881172,3.04751359312,35.8778289632,8.25267907515,0.743055555556,0.758338301889
L19_SEED_2,320,13,L13_BLOCK_OUT,TRAIN,0.834841033208,2.9088652062,37.7979580588,10.5899934015,0.75,0
L19_SEED_2,320,14,L14_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.926312589055,3.02098526729,40.4581708675,8.97204522532,0.743055555556,0.758843029006
L19_SEED_2,320,14,L14_BLOCK_OUT,TRAIN,0.832519176549,2.88798585137,42.4937451681,11.4162717948,0.75,0
L19_SEED_2,320,15,L15_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.916879902328,2.98765992549,45.186226484,9.72609669382,0.756944444444,0.754567662918
L19_SEED_2,320,15,L15_BLOCK_OUT,TRAIN,0.838307587504,2.85637498194,47.3745762406,12.3478643875,0.75,0
L19_SEED_2,320,16,L16_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.910309486256,2.93960044279,50.2888799926,10.3920817669,0.763888888889,0.74772952409
L19_SEED_2,320,16,L16_BLOCK_OUT,TRAIN,0.843665989752,2.79018154283,52.8570112551,12.6036614871,0.75,0
L19_SEED_2,320,17,L17_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.899233006903,2.99909271864,55.7727919713,11.1703865357,0.770833333333,0.735337788303
L19_SEED_2,320,17,L17_BLOCK_OUT,TRAIN,0.847773750459,2.83682379663,58.2535720381,13.1959764523,0.75,0
L19_SEED_2,320,18,L18_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.883919939065,3.06868603102,61.3058525883,11.5996158415,0.75,0.721691618329
L19_SEED_2,320,18,L18_BLOCK_OUT,TRAIN,0.856240663628,2.86276150806,63.8057023995,13.9296968159,0.75,0
L19_SEED_2,320,19,L19_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.866389022979,3.12468933615,66.2783802544,12.4679475441,0.75,0.714871358551
L19_SEED_2,320,19,L19_BLOCK_OUT,TRAIN,0.865881421522,2.86429570608,68.9543828907,14.3129615336,0.71875,0
L19_SEED_2,320,20,PRE_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.866852692588,3.1372095141,63.6557665249,11.9818189717,0.75,0.717232626289
L19_SEED_2,320,20,PRE_LN_FINAL,TRAIN,0.865404208458,2.8659338872,66.2580440164,13.979840855,0.71875,0
L19_SEED_2,320,21,POST_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.866894045674,3.15910416074,8.72607939297,1.53865677985,0.791666666667,0.705228654711
L19_SEED_2,320,21,POST_LN_FINAL,TRAIN,0.863030199782,2.99769992566,8.71704958949,1.89305895465,0.71875,0
L19_SEED_4,12,0,L0_EMBEDDED,MARGIN_DEVELOPMENT_V1,1,6.91378482257,1,0.473518651386,0.208333333333,0.148591487928
L19_SEED_4,12,0,L0_EMBEDDED,TRAIN,0.860404425552,6.51093385796,1,0.348929973689,0.34375,0
L19_SEED_4,12,4,L4_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.811681237592,2.30668164726,3.08389211544,0.496909199012,0.305555555556,0.358386680589
L19_SEED_4,12,4,L4_BLOCK_OUT,TRAIN,0.939040180082,2.38494217851,3.28277572168,0.632072865889,0.3125,0
L19_SEED_4,12,8,L8_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.665182774234,1.54530934545,5.53434156441,0.333139713331,0.506944444444,0.389490952161
L19_SEED_4,12,8,L8_BLOCK_OUT,TRAIN,0.960102894806,1.6398147489,5.86408405423,0.738011303465,0.3125,0
L19_SEED_4,12,12,L12_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.528274794226,1.28677520235,9.01107602158,0.0991627215752,0.631944444444,0.397943620895
L19_SEED_4,12,12,L12_BLOCK_OUT,TRAIN,0.952754075747,1.3109438429,9.48101536613,0.786350951383,0.28125,0
L19_SEED_4,12,16,L16_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.478027901588,1.24656890808,12.5763368074,0.0246743229095,0.576388888889,0.38285117583
L19_SEED_4,12,16,L16_BLOCK_OUT,TRAIN,0.940650989124,1.25504772667,13.1401845848,0.820082076445,0.3125,0
L19_SEED_4,12,19,L19_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.450986317254,1.19679764584,15.1151494213,-0.187062302946,0.659722222222,0.369876324545
L19_SEED_4,12,19,L19_BLOCK_OUT,TRAIN,0.931817767098,1.20430195521,15.7428968929,0.837707607541,0.3125,0
L19_SEED_4,12,20,PRE_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.454001248389,1.20562707033,14.7626518299,-0.198913066415,0.659722222222,0.369285099268
L19_SEED_4,12,20,PRE_LN_FINAL,TRAIN,0.934242203016,1.21255404276,15.3914734892,0.839512250428,0.3125,0
L19_SEED_4,12,21,POST_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.458144120463,1.42205380558,8.6669357906,0.052347939072,0.590277777778,0.352752006757
L19_SEED_4,12,21,POST_LN_FINAL,TRAIN,0.868037187176,1.53582496229,8.73537118662,0.364459830449,0.3125,0
L19_SEED_4,80,0,L0_EMBEDDED,MARGIN_DEVELOPMENT_V1,1,6.53561141866,1,0.54587207748,0.6875,0.325576613123
L19_SEED_4,80,0,L0_EMBEDDED,TRAIN,0.823425260474,6.37803781249,1,0.432196404185,0.90625,0
L19_SEED_4,80,4,L4_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.962227620242,4.06322781503,6.64912598872,2.26116367759,0.694444444444,0.658463173582
L19_SEED_4,80,4,L4_BLOCK_OUT,TRAIN,0.840755595341,3.73710192465,6.87529443522,2.22841093194,0.90625,0
L19_SEED_4,80,8,L8_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.938780768318,3.49889868596,13.5342490321,2.64356281788,0.715277777778,0.718829218158
L19_SEED_4,80,8,L8_BLOCK_OUT,TRAIN,0.848584711871,3.27757124454,13.8826835704,3.306158252,0.875,0
L19_SEED_4,80,12,L12_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.880632373493,3.185181555,23.3933501098,4.58918362554,0.791666666667,0.721240812471
L19_SEED_4,80,12,L12_BLOCK_OUT,TRAIN,0.859038229345,3.13280385055,24.00148843,5.77158563578,0.875,0
L19_SEED_4,80,16,L16_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.8054652856,2.96992040086,35.8733161469,5.88697206243,0.840277777778,0.690009128374
L19_SEED_4,80,16,L16_BLOCK_OUT,TRAIN,0.870194177982,2.95266173101,36.7142294036,8.50169942527,0.84375,0
L19_SEED_4,80,19,L19_BLOCK_OUT,MARGIN_DEVELOPMENT_V1,0.741321305776,2.83915857911,46.193161987,5.55731998637,0.847222222222,0.654753594407
L19_SEED_4,80,19,L19_BLOCK_OUT,TRAIN,0.883016369704,2.83211885072,47.2644031059,9.37672789101,0.84375,0
L19_SEED_4,80,20,PRE_LN_FINAL,MARGIN_DEVELOPMENT_V1,0.74360334486,2.87959129832,44.6132336046,5.63313277803,0.847222222222,0.656548709992
