configuration_id,checkpoint_step,rep,rep_name,selected_step,finite,nonfinite_step,nonfinite_what,train_ce,train_token_exact,cal_ce,cal_token_exact,max_logit_abs,dev_tf_token_exact,dev_tf_mean_rank,dev_tf_mean_nll,dev_fr_token_exact,dev_fr_sequence_exact,dev_fr_nll,dev_head_ctx_token_exact,dev_head_ctx_seq_exact,step2000_train_ce,step2000_train_token_exact
L19_SEED_2,320,16,L16_BLOCK_OUT,100,true,-1,,0.321176386378,31,1.38774189505,78,1.10808832828,87,1.70833333333,1.13573847545,43,2,3.74744715758,58,2,0.00920464315975,32
L19_SEED_2,320,17,L17_BLOCK_OUT,100,true,-1,,0.324483634814,31,1.42988662742,77,1.09751418383,86,1.70833333333,1.14043268989,43,2,3.66499975587,58,2,0.00938379057597,32
L19_SEED_2,320,18,L18_BLOCK_OUT,75,true,-1,,0.4295279868,29,1.51240897705,84,0.888099979849,91,1.79166666667,1.23040143474,34,3,3.58647755204,56,3,0.00947114690623,32
L19_SEED_2,320,19,L19_BLOCK_OUT,75,true,-1,,0.431479035827,29,1.59840534578,76,0.874903830004,84,2,1.30273535235,29,2,3.63420895309,48,2,0.00981808476838,32
L19_SEED_2,320,20,PRE_LN_FINAL,75,true,-1,,0.428706743725,29,1.58540595422,76,0.878602519482,84,2.01388888889,1.28769753395,29,2,3.61951549599,48,2,0.0096482502412,32
L19_SEED_2,320,21,POST_LN_FINAL,50,true,-1,,0.630313762426,29,1.63038520165,82,0.594234577326,91,2,1.37890650956,40,2,3.22868476573,58,2,0.014727576216,32
L19_SEED_4,12,0,L0_EMBEDDED,2000,true,-1,,0.268279567674,28,0.102981304861,144,1.45266278632,144,1,0.102981304861,144,24,0.102981304861,40,0,0.268279567674,28
L19_SEED_4,12,4,L4_BLOCK_OUT,125,true,-1,,0.214086473238,30,0.481537408497,123,1.24822753058,117,1.36111111111,0.689736830454,76,11,2.88563090478,35,0,0.00790652757651,32
L19_SEED_4,12,8,L8_BLOCK_OUT,175,true,-1,,0.207571612516,31,0.773256574967,105,1.36744189617,98,2.31944444444,1.10957209881,45,4,3.73088717524,33,0,0.0100051896306,32
L19_SEED_4,12,12,L12_BLOCK_OUT,175,true,-1,,0.239294601952,30,1.23857285013,88,1.43813532333,83,3.48611111111,1.8468442829,48,6,4.68196258432,28,0,0.0107238887637,32
L19_SEED_4,12,16,L16_BLOCK_OUT,150,true,-1,,0.318225809942,30,1.78182262086,81,1.22688070121,74,3.89583333333,2.46155239542,42,3,4.75955607195,28,0,0.0106474762764,32
L19_SEED_4,12,19,L19_BLOCK_OUT,125,true,-1,,0.458388416017,30,2.176234246,74,1.07674347549,65,5.0625,2.8797260965,33,1,4.64682634889,26,0,0.0159242129986,32
L19_SEED_4,12,20,PRE_LN_FINAL,125,true,-1,,0.443345253745,30,2.10708365342,73,1.07603688101,64,4.56944444444,2.80612726029,35,1,4.60861114611,25,0,0.0146639064346,32
L19_SEED_4,12,21,POST_LN_FINAL,50,true,-1,,0.988814229718,27,2.43258458716,76,0.58738489588,66,5.17361111111,2.84637625025,31,2,3.78339095988,26,0,0.0289433419697,32
L19_SEED_4,80,0,L0_EMBEDDED,2000,true,-1,,0.268324646295,28,0.103012764629,144,1.62177139999,144,1,0.103012764629,144,24,0.103012764629,86,9,0.268324646295,28
L19_SEED_4,80,4,L4_BLOCK_OUT,250,true,-1,,0.199653855863,30,0.277537710949,131,2.1049364727,124,1.15277777778,0.33743019593,94,13,2.37939843529,73,6,0.0208217426365,32
L19_SEED_4,80,8,L8_BLOCK_OUT,150,true,-1,,0.25826407536,30,0.491756721221,120,1.29689682791,119,1.23611111111,0.534229535764,87,12,2.30389962926,72,6,0.0111951391689,32
L19_SEED_4,80,12,L12_BLOCK_OUT,125,true,-1,,0.244163526989,30,0.740589192192,111,1.01991423622,105,1.77083333333,0.921031589815,54,6,3.50891110653,65,5,0.0070585873922,32
L19_SEED_4,80,16,L16_BLOCK_OUT,100,true,-1,,0.302987318468,30,1.03052512603,91,0.98110307049,82,2.24305555556,1.27347444148,31,2,3.98011116415,55,2,0.00780530469046,32
L19_SEED_4,80,19,L19_BLOCK_OUT,100,true,-1,,0.324065550218,30,1.27173948333,88,1.07510715259,80,2.40277777778,1.54846543831,31,2,3.93461454396,54,2,0.00863519082151,32
L19_SEED_4,80,20,PRE_LN_FINAL,100,true,-1,,0.317846463677,30,1.27144539907,88,1.02132419507,80,2.39583333333,1.54467040954,31,2,3.9329846818,54,2,0.00841806770547,32
L19_SEED_4,80,21,POST_LN_FINAL,75,true,-1,,0.38966134497,30,1.28186595593,88,0.81034730333,86,2.6875,1.48725503338,36,2,3.91085133115,61,2,0.00784880462623,32
L19_SEED_4,320,0,L0_EMBEDDED,2000,true,-1,,0.268329657093,28,0.103018005071,144,1.69688335957,144,1,0.103018005071,144,24,0.103018005071,95,12,0.268329657093,28
L19_SEED_4,320,1,L1_BLOCK_OUT,250,true,-1,,0.23558917151,29,0.19261354029,137,2.24626830006,135,1.0625,0.19737189219,112,17,1.35333950035,88,9,0.0556998643623,32
L19_SEED_4,320,2,L2_BLOCK_OUT,275,true,-1,,0.223816729268,29,0.216586857031,137,1.73029512743,137,1.04861111111,0.214112267442,115,18,1.47041991536,89,9,0.0390859113918,32
L19_SEED_4,320,3,L3_BLOCK_OUT,300,true,-1,,0.201711296588,29,0.227675602252,136,2.11298832455,134,1.06944444444,0.241859257189,115,17,1.41976130327,88,9,0.0334187976844,32
L19_SEED_4,320,4,L4_BLOCK_OUT,275,true,-1,,0.196499587382,30,0.251756147844,130,1.97579911161,127,1.11805555556,0.291632298687,98,13,2.33327984695,83,6,0.022142783555,32
L19_SEED_4,320,5,L5_BLOCK_OUT,275,true,-1,,0.198039442761,30,0.286807397695,127,1.96764607263,123,1.14583333333,0.337271708733,91,11,2.45330398297,81,6,0.0205741174173,32
L19_SEED_4,320,6,L6_BLOCK_OUT,225,true,-1,,0.207475953971,30,0.33465430917,123,1.68019612761,120,1.17361111111,0.372498719081,77,10,3.01814603018,78,5,0.0150707504282,32
L19_SEED_4,320,7,L7_BLOCK_OUT,200,true,-1,,0.216823561268,30,0.37825989873,122,1.63812120764,121,1.17361111111,0.398880812445,77,10,2.91658359833,75,5,0.013260508107,32
L19_SEED_4,320,8,L8_BLOCK_OUT,200,true,-1,,0.210017156342,30,0.407934653753,123,1.74049526435,120,1.1875,0.426543596337,77,10,3.03120820732,75,5,0.0115035607518,32
L19_SEED_4,320,9,L9_BLOCK_OUT,175,true,-1,,0.227319593207,29,0.443136851789,127,1.38558710029,126,1.13888888889,0.447451543853,90,13,2.48528855673,81,8,0.0101860718221,32
L19_SEED_4,320,10,L10_BLOCK_OUT,175,true,-1,,0.216935249923,30,0.483629008887,120,1.31629772404,119,1.1875,0.497116285113,70,9,3.24439757783,75,5,0.0088872367012,32
L19_SEED_4,320,11,L11_BLOCK_OUT,150,true,-1,,0.221806454004,30,0.519198032471,120,1.1699689965,117,1.22916666667,0.54964695184,70,9,3.00755104405,75,5,0.00744627262339,32
