configuration_id,checkpoint_step,rep,rep_name,probe_dev_fr_token_exact,head_dev_fr_token_exact,probe_minus_head_fr,probe_dev_tf_token_exact,probe_train_tf_token_exact,probe_cal_fr_token_exact
L18_SEED_2_CONTROL,320,1,L1_BLOCK_OUT,109,60,49,134,29,127
L18_SEED_2_CONTROL,320,2,L2_BLOCK_OUT,115,60,55,137,29,115
L18_SEED_2_CONTROL,320,3,L3_BLOCK_OUT,75,60,15,118,31,79
L18_SEED_2_CONTROL,320,4,L4_BLOCK_OUT,77,60,17,117,31,69
L18_SEED_2_CONTROL,320,5,L5_BLOCK_OUT,45,60,-15,103,32,53
L18_SEED_2_CONTROL,320,6,L6_BLOCK_OUT,41,60,-19,102,32,47
L18_SEED_2_CONTROL,320,7,L7_BLOCK_OUT,40,60,-20,96,32,41
L18_SEED_2_CONTROL,320,8,L8_BLOCK_OUT,32,60,-28,92,32,41
L18_SEED_2_CONTROL,320,9,L9_BLOCK_OUT,36,60,-24,91,32,39
L18_SEED_2_CONTROL,320,10,L10_BLOCK_OUT,36,60,-24,91,32,40
L18_SEED_2_CONTROL,320,11,L11_BLOCK_OUT,48,60,-12,97,31,43
L18_SEED_2_CONTROL,320,12,L12_BLOCK_OUT,38,60,-22,92,32,37
L18_SEED_2_CONTROL,320,13,L13_BLOCK_OUT,49,60,-11,95,31,44
L18_SEED_2_CONTROL,320,14,L14_BLOCK_OUT,41,60,-19,91,31,35
L18_SEED_2_CONTROL,320,15,L15_BLOCK_OUT,35,60,-25,82,32,27
L18_SEED_2_CONTROL,320,16,L16_BLOCK_OUT,30,60,-30,80,32,27
L18_SEED_2_CONTROL,320,17,L17_BLOCK_OUT,30,60,-30,81,31,26
L18_SEED_2_CONTROL,320,18,L18_BLOCK_OUT,28,60,-32,78,31,28
L18_SEED_2_CONTROL,320,19,PRE_LN_FINAL,28,60,-32,78,31,28
L18_SEED_2_CONTROL,320,20,POST_LN_FINAL,47,60,-13,95,30,45
