"mode","case_id","step","max_abs_difference","mean_abs_difference","relative_l2_difference","argmax_match","top3_match"
"free","s3_p2","0","8.652089119","1.84671386","0.2567972378","true","false"
"free","s3_p2","1","6.551861048","1.225718315","0.3877001203","true","false"
"free","s3_p2","2","8.652089119","1.84671386","0.2567972378","true","false"
"free","s3_p2","3","6.551861048","1.225718315","0.3877001203","true","false"
"free","s3_p2","4","8.652089119","1.84671386","0.2567972378","true","false"
"free","s3_p2","5","6.551861048","1.225718315","0.3877001203","true","false"
"free","s3_p2","6","8.652089119","1.84671386","0.2567972378","true","false"
"free","s3_p2","7","6.551861048","1.225718315","0.3877001203","true","false"
"free","s3_p3","0","3.708374262","1.19909603","0.187166591","true","true"
"free","s3_p3","1","4.466533184","1.36189638","0.1791126348","true","true"
"free","s3_p3","2","4.077419281","1.819586694","0.2885466838","true","true"
"free","s3_p3","3","3.708374262","1.19909603","0.187166591","true","true"
"free","s3_p3","4","4.466533184","1.36189638","0.1791126348","true","true"
"free","s3_p3","5","4.077419281","1.819586694","0.2885466838","true","true"
"free","s3_p3","6","3.708374262","1.19909603","0.187166591","true","true"
"free","s3_p3","7","4.466533184","1.36189638","0.1791126348","true","true"
"free","s4_p0","0","18.18080997","4.271334978","1.661078141","false","false"
"free","s4_p0","1","4.865506172","1.394759782","0.3078609471","true","false"
"free","s4_p0","2","6.027441025","1.64572373","0.2725375784","true","false"
"free","s4_p0","3","6.570334435","2.088361657","0.5305468207","true","false"
"free","s4_p0","4","18.18080997","4.271334978","1.661078141","false","false"
"free","s4_p0","5","4.865506172","1.394759782","0.3078609471","true","false"
"free","s4_p0","6","6.027441025","1.64572373","0.2725375784","true","false"
"free","s4_p0","7","6.570334435","2.088361657","0.5305468207","true","false"
"free","s4_p1","0","2.256126806","0.625011113","0.1510217884","true","false"
"free","s4_p1","1","4.396284103","1.002452162","0.2196027985","true","false"
"free","s4_p1","2","3.122352123","1.118621051","0.1798612183","true","false"
"free","s4_p1","3","6.612849474","2.000124529","0.3054348406","true","true"
"free","s4_p1","4","2.256126806","0.625011113","0.1510217884","true","false"
"free","s4_p1","5","4.396284103","1.002452162","0.2196027985","true","false"
"free","s4_p1","6","3.122352123","1.118621051","0.1798612183","true","false"
"free","s4_p1","7","6.612849474","2.000124529","0.3054348406","true","true"
"free","s4_p2","0","3.730540276","1.074517967","0.2965855876","true","false"
"free","s4_p2","1","4.692937374","1.622884758","0.2175937456","true","true"
"free","s4_p2","2","3.730540276","1.074517967","0.2965855876","true","false"
"free","s4_p2","3","4.692937374","1.622884758","0.2175937456","true","true"
"free","s4_p2","4","3.730540276","1.074517967","0.2965855876","true","false"
"free","s4_p2","5","4.692937374","1.622884758","0.2175937456","true","true"
"free","s4_p2","6","3.730540276","1.074517967","0.2965855876","true","false"
"free","s4_p2","7","4.692937374","1.622884758","0.2175937456","true","true"
"free","s4_p3","0","2.890278816","1.137508497","0.1436881502","true","false"
"free","s4_p3","1","2.460415125","1.432241011","0.1796222718","true","false"
"free","s4_p3","2","3.433617115","2.054561792","0.3239045773","true","true"
"free","s4_p3","3","2.890278816","1.137508497","0.1436881502","true","false"
"free","s4_p3","4","2.460415125","1.432241011","0.1796222718","true","false"
"free","s4_p3","5","3.433617115","2.054561792","0.3239045773","true","true"
"free","s4_p3","6","2.890278816","1.137508497","0.1436881502","true","false"
"free","s4_p3","7","2.460415125","1.432241011","0.1796222718","true","false"
"free","s5_p0","0","9.227263451","2.044745317","0.4222722061","true","true"
"free","s5_p0","1","10.97710156","7.012922376","0.5510359486","true","false"
"free","s5_p0","2","10.95131588","6.764403245","0.7619753293","true","false"
"free","s5_p0","3","14.48026276","4.258631047","0.7804424873","true","false"
"free","s5_p0","4","9.227263451","2.044745317","0.4222722061","true","true"
"free","s5_p0","5","10.97710156","7.012922376","0.5510359486","true","false"
"free","s5_p0","6","10.95131588","6.764403245","0.7619753293","true","false"
"free","s5_p0","7","14.48026276","4.258631047","0.7804424873","true","false"
"free","s5_p1","0","8.159503937","2.716712124","0.568129917","true","false"
"free","s5_p1","1","8.340632677","2.164550848","0.4069785157","true","false"
"free","s5_p1","2","9.252326369","4.35266437","0.7502461889","true","false"
"free","s5_p1","3","7.034714699","2.252682467","0.4324205783","true","false"
